97870	Kentou Kanami	「…………」	「............」

97871	Kentou Kanami	「え、えーーーーーーーっ！？	「E-Eeeeeeeh!?」
97872	+	　それってーーー！？」	　That means――!?」

97873	Freya Idun	「ま、そういうことね」	「Yeah, that's what it means.」

97874	Kentou Kanami	「はっ！？」	「Hah!?」

97875	Dark Heron	「…………」	「............」

97876	-	木の陰から闇鷺がかなみを窺っていた。	From behind a tree, Dark Heron watched Kanami.

97877	Kentou Kanami~	（み、見てる！？	（She's watching!?」
97878	+	　私のこと監視してるッ！？）	　Is she monitoring me!?）

97879	Freya Idun	「じゃあ、私はこれで」	「Well then, I'll be going.」

97880	Kentou Kanami	「あ、あの、彼女、私に何かしたりとか……」	「U-Um, will she do something to me...?」

97881	Freya Idun	「いやね、そんなことあるわけないでしょう？」	「Oh please, that won't happen.」

97882	Kentou Kanami	「そ、そうですよね……	「R-Right...
97883	+	　いくら何でもそんなこと……」	　There's no way she'd...」

97884	Freya Idun	「あ、そうだ」	「Ah, right.

97885	Freya Idun	「月のない夜は部屋から出ないようにね」	　On nights with no moon, don't leave your room.」

97886	Kentou Kanami	「どういう意味ですか、それ！？」	「What does that mean!?」

97887	Freya Idun	「じゃあね」	「See you.」

97888	Kentou Kanami	「うわーん！　待って下さい！	「Uwaaan! Wait!
97889	+	　一緒にいてーー！」	　Stay with meee!」

97890	Freya Idun	「やれやれ……」	「Good grief...」

97891	Freya Idun	「二人とも困ったものね」	「Both of you are such a handful.」

97892	Kentou Kanami	「フレイアさん、楽しんでません！？」	「Freya-san, aren't you enjoying this!?」

97893	Freya Idun	「まさか」	「No way.」

97894	Dark Heron	「…………」	「............」

97895	Dark Heron	「じーーーー……」	「Staaaaare......」

97896	-	闇鷺はジッと見たまま、	Dark Heron kept staring
97897	+	かなみから視線を逸らさなかった。	without looking away from Kanami.
