# 33070	６１０／魔人サテラ／戦闘前	
* Lelikov Helman	レリコフ２	Female
* Masou Shizuka	志津香２	Female
* Mix Tou	ミックス２	Female
* Nagata-kun	長田君２	Male
* Yamamoto Rangi	乱義２	Male
* Zance Leazas	ザンス２	Male
* Rocky Bank	ロッキー２	Male
* Satella	サテラ	Female
* Arms Arc	アームズ２	Female
* Reset Kalar	リセット２	Female

197907	Lelikov Helman	しょんぼり	「へひっ、へひっ……	「Hehi, hehi...
197947	Masou Shizuka	怒り	「シーザー……	「Caesar...
197948	+		　それに、魔人サテラ……」	　And Fiend Satella...」

197949	-		15年前の魔人と人類の戦争時、	During the Fiend-human war fifteen years ago,
197950	+		世界に残った魔人はホーネット派ばかりである。	the remaining Fiends in the world mostly belonged to the Hornet faction.

197951	-		ホーネット派とは、人類に不可侵を決めた	The Hornet faction are those who follow
197952	+		先々代魔王ガイの遺志を継ぐ者達、	the will of the previous previous Demon King Gai,
197953	+		元々、平和を好む温和な者が多い。	who decided on non-aggression toward humanity.

197954	-		それはランスが魔王になっても変わらず、	Even after Rance became Demon King, this mostly held,
197955	+		人類に対しても魔王の手前、あからさまではないが、	and they were sympathetic toward humans,
197956	+		同情的であり、時には協力的ですらあった。	though not overtly due to the Demon King.

197957	-		しかし、そんな中サテラは今の魔王を良しとし、	However, among them Satella approves of the current Demon King
197958	+		魔王を正気に戻そうとする人類に対しては	and harbors clear, intense hostility
197959	+		明確に激しい敵意を向ける、唯一の魔人である。	toward humans trying to restore the Demon King's sanity.

197960	Satella	基本	「ストーンガーディアン、お前は下がれ」	「Stone Guardian, stand down.」

197961	?		『…………』	『............』

197962	-		ストーンガーディアンはサテラの言葉に	The Stone Guardian showed no displeasure
197963	+		気を悪くした様子もなく、	at Satella's words,
197964	+		恭しく頷いてまた岩の姿に戻っていった。	nodded respectfully, and returned to boulder form.

197965	Satella		「さて……」	「Now then...」

197966	-		改めて向き直り、	Turning to face you again,
197967	+		魔人サテラはあなた達をジロリと視線で射抜く。	Fiend Satella pierced you with a sharp glare.

197968	Satella	不安	「貴様ら……」	「You...」

197969	Satella	怒り	「これは一体どういうつもりだ！？」	「What exactly is the meaning of this!?」

197970	Arms Arc	基本	「おっと……お怒りだな……」	「Oops... she's angry...」

197971	Satella	不安	「魔王様の子供のくせに、	「Despite being the Demon King's children,
197972	+		　魔王様に楯突くとは……なんて恥知らずな！」	　to turn against the Demon King... how shameless!」

197973	Satella		「特に……」	「Especially...」

197974	Satella	怒り	「お前だ、リセット！」	「You, Reset!」

197975	Reset Kalar	驚き	「え、わたし……！？」	「Eh, me...!?」

197976	Satella	基本	「何度も何度も魔王様の心を乱し続けた！	「You've disturbed Demon King-sama's heart again and again!
197977	+		　その罪は万死をもっても	　That sin cannot be atoned for
197978	+		　まだ償えるものではない！」	　even with ten thousand deaths!」

197979	Reset Kalar		「あ、あの、でも、わたしは……」	「U, um, but I...」

197980	Satella	怒り	「黙れ！　貴様と問答する気はない！」	「Silence! I have no intention of arguing with you!」

197981	-		リセットに輪郭すら伴っているような	A clear, almost tangible killing intent
197982	+		ハッキリとした殺意が向けられる。	was directed at Reset.

197983	Masou Shizuka	基本	「全員、慎重に戦いなさい。	「Everyone, fight carefully.
197984	+		　サテラは……強いわよ」	　Satella... is strong.」

197985	Satella	怒り	「…………」	「............」

197986	Satella	ふふん	「ふん、そう怯えるな。	「Hmph, don't be so scared.
197987	+		　まだ殺して良いとは命令されていない」	　I haven't been ordered to kill you yet.」

197988	Satella		「お前達は腐っても魔王様の子。	「You are still children of the Demon King.
197989	+		　魔王様の命令もなしにはサテラも殺しにくい」	　Even Satella finds it hard to kill you without the Demon King's order.」

197990	Satella		「だから――」	「Therefore――」

197991	Satella	魔人顔	「全員、両手両足、どれか一本いただいて行く」	「I'll be taking one arm or leg from each of you.」

197992	Satella		「そうすれば二度と	「That way you won't be able to
197993	+		　魔王様に刃向かえなくなるだろう？」	　oppose the Demon King again, right?」

197994	Zance Leazas	基本	「ハンッ、出来るならやってみろ、ポンコツ魔人が」	「Hah, if you can, then try it, you useless Fiend.」

197995	Satella		「…………」	「............」

197996	-		サテラは下手な激昂もしない。	Satella didn't fly into a crude rage.
197997	+		その代わり肩に乗っていたシーザーから降りて、	Instead, she dismounted from Caesar on her shoulder,
197998	+		たった二言だけ告げる。	and spoke only two words.

197999	Satella		「サテラは魔王様の為なら命だって惜しくない」	「Satella doesn't mind giving her life for Demon King-sama.」

198000	Satella	怒り	「――諦めろ」	「――Give up.」
