# The words the synopsis screen has settled on -- what is not a person's name.
# Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English <TAB> a short form, where the panel
# needed one.
#
# For the synopsis panel, names of people are not here: they come from
# glossaries/mistranslated_names.json and glossaries/card_name_glossary.tsv, and
# scripts/summary_chunk.js quotes both into a prompt beside these. A word the
# dialogue also says was not here either, and for the same reason: 総統, 魔物界,
# 大将軍, 天満橋 and 死国 live in that file, where the build repairs the corpus
# from one field and the name check reports a caption that disagrees.
#
# The file has a second job now and the last section is it. modules/ScenePrompt.js
# cuts a scene's glossary slice from three tables and this is one of them, so a
# row here is how a word reaches the person translating a scene -- and the name
# table is the wrong place to put one for that, because an entry there is also a
# repair pass over a corpus that is already baked. Those rows are people's names
# and dialogue words both, they are labelled as what they are, and they are for
# the prompt rather than for the panel.
#
# What is left -- the operations, the fortresses, the map, the
# machines -- the dialogue mostly never said, so scripts/lookup_term.js has no
# answer for it and each of these was decided once, in a batch of three hundred,
# and then had to hold for four and a half thousand captions nobody reads in one
# sitting. 滅号作戦 is not a thing anybody invents the same way twice.
#
# The third column is the form to use when the full one will not fit twenty
# full-width characters: 聖櫃 is "the Ark" in four rows out of five. A caption
# reading back shortened is the panel's width and not a disagreement.
#
# Every row here is what glossaries/summary_glossary.tsv already holds, checked
# against it row by row when this file was written.

# --- The Monster Army --------------------------------------------------------
魔軍	Monster Army
スケール	Scale
ミダラナツリー	Midarana Tree
ブルトンツリー	Burton Tree
タンザモンザツリー	Tanzamonza Tree
サイサイツリー	Saisai Tree
ビューティツリー	Beauty Tree

# --- Things and beasts -------------------------------------------------------
チューリップ３号	Tulip No.3
ブレイブ号	the Brave
サンセット号	the Sunset
あてな２号	Athena 2.0
ＩＰボディ	IP body
ノートンガツ	Notongatsu
大規模モルルン	Massive Morurun
デラックスブック	the Deluxe Book
究極お神籤	the ultimate fortune box
ガールズショー	the Girls Show
幸福タイム	Happy Time
宝箱だんご	chest dango
ゴールデンハニー	Golden Hanny
リターンデーモン	Return Demon
ホフホフ	Hofhoph
幸福きゃんきゃん	Lucky Can Can

# --- What a scene prompt needs -----------------------------------------------
# The rows below are here because modules/ScenePrompt.js cuts a scene's glossary
# slice from this file, and a word no row covers is absent from the prompt: the
# translator then invents an English for it, and the next scene's translator
# invents another. scripts/find_unnamed_terms.js is what finds them and
# docs/unnamed-terms.md is why they are here rather than in the name table --
# a fresh entry there is a repair pass over a corpus that is already baked,
# which is the hazard docs/baked-name-repairs.md records.
#
# The English is not decided here where something else already had it. These
# come from enemy_party_glossary.tsv (Rudrasaum, Stone Guardian, Brobio,
# Demon King Miki, Grand Marshal Stroganoff), card_name_glossary.tsv (Mix, Dark
# Rance, Motonari, Uzume, Princess Panasonic), place_name_glossary.tsv (the
# Demon King's Castle) and docs/terminology-drift.md (the Supreme Leader's
# Headquarters, whose panel short form summary_glossary.tsv already writes).

ホルス	Horus
LP5年	LP5
LP6年	LP6
LP7年	LP7
ＬＰ８年	LP8
大陸	the Continent

総統司令部	the Supreme Leader's Headquarters	The Supreme Leader's HQ
魔王城	the Demon King's Castle
魔王美樹	Demon King Miki
大元帥	Grand Marshal
ルドラサウム	Rudrasaum
ストーンガーディアン	Stone Guardian
ブロビオ	Brobio
ミックス	Mix
ダークランス	Dark Rance
元就	Motonari
ウズメ	Uzume
松下姫	Princess Panasonic

# The same word, written half-width. Every English below is what the row for
# the full-width spelling already says -- place_name_glossary.tsv for JAPAN and
# CITY, card_name_glossary.tsv for ALICE, DD, PG, BS and Rance Jr., and this
# file's own ＡＬ教 and ＤＸの会 rows for the AL Church and the DX Association. 35 of the game's 116
# Latin runs are written both ways and mentions() matches neither against the
# other, so the row that was there covered the scenes with one spelling and left
# the scenes with the other blind: ＪＡＰＡＮ in 50 and JAPAN in 171.

JAPAN	JAPAN
CITY	CITY
ALICE	ALICE
AL教	the AL Church
DXの会	the DX Association
ランスJr	Rance Jr.
DD	DD
PG	PG
BS	BS

# People, where the tables only ever held the name inside something longer. The
# card table is keyed by a card -- 志津香２, 子供ナギ, Lv30 ポピンズ -- and the
# name table by the portrait, so a scene that says the bare name matches none of
# them. Each English below is the one that longer key already carries.

志津香	Shizuka
ナギ	Nagi
メディウサ	Medusa
ポピンズ	Poppins
モフス	Mofus
アレフガルド	Alefgard
ガンジー	Gandhi
フリーク	Freak
パラパラ	Parapara
毛利	Mouri
上杉	Uesugi
北条	Houjou
山本	Yamamoto
藤原	Fujiwara
石丸	Ishimaru
真田	Sanada
織田	Oda
ハンナ	Hanna
独眼流政宗	Dokuganryuu Masamune

# Places, weapons and the things people read, from the same tables one key
# further out: place_name_glossary.tsv for Mark and Kaiz, 11_スキルデータ.x for
# Tulip and Sensor Jizo, 6_クエスト情報.x for Holy Sword Nikkou, 9_カード情報.x
# for Portugal, the Escudo Sword, the Rance Castle Knights and the Thunder
# Emperor, and 48_立ち絵名札マッピング情報.x for M Land and three of Zeth's four
# armies -- 光軍 is the fourth and takes the pattern.

マーク	Mark
カイズ	Kaiz
ポルトガル	Portugal
スチールホラー	Steel Horror
Mランド	M Land
チューリップ	Tulip
ルーン	Rune
エスクードソード	Escudo Sword
聖刀日光	Holy Sword Nikkou
ドラゴンパッチ	Dragon Patch
闘神ダイジェスト	Toushin Digest
センサー地蔵	Sensor Jizo
ランス城騎士団	the Rance Castle Knights
炎軍	the Flame Army
氷軍	the Ice Army
雷軍	the Thunder Army
光軍	the Light Army
雷帝	Thunder Emperor

# Four the draft spelled its own way and something older disagreed with, and
# five nothing anywhere had a word for. 9_カード情報.x:5096 is 職業 = "The-O City
# Mayor"; the wiki has a page titled Ylapu and none for the other two spellings
# 9_カード情報.x itself uses; ズッキーニ・アウトバーン is a surname on the wiki's DX
# Association page, so Autobahn is the man rather than the road the draft heard;
# and summary_glossary.tsv:753 has Maria's Hirara engine. The last five have no
# answer anywhere and the draft never varied: Bontenmaru, Larerare Stone, the
# Sunrise -- a ship, サンライズ号 -- GOLD, and CG, which summary_glossary.tsv
# writes as ※Event CG.

ジオ	The-O
イラーピュ	Ylapu
アウトバーン	Autobahn
ヒララ	Hirara
サンライズ	the Sunrise
梵天丸	Bontenmaru
ラレラレ石	Larerare Stone
GOLD	GOLD
ＣＧ	CG

# --- The one pattern ---------------------------------------------------------
# 144 rows in an unbroken run at the end of the glossary, one per character.
裸イベント	nude event
