# The names Ｔ敵本体生成 gives the enemy party -- what the plate over its HP
# bar says. Generated by scripts/extract_enemy_party_names.js -- edit
# glossaries/enemy_party_glossary.tsv to change the English, not this file.
#
# Columns: the Japanese, JSON-quoted <TAB> its string slot <TAB> how many other
# places push that slot.
#
# The last column is here to be read, not used: it is why the English is a .jaf
# overriding Enemy@Id::get rather than 231 translated strings.
# 45 of these names share their slot with something else, and for some of
# them that something is a key -- ジャハルッカス is a card Id, マエリータ隊 a flag name.
"魔人リズナ"	14059	0
"魔人ホーネット"	14065	0
"魔人ＤＤ"	10962	1
"魔王ランス"	10964	1
"北条早雲(錯乱)"	14091	0
"バファムーン"	14097	0
"冬将軍１９４２"	12126	2
"大怪獣クエルプラン"	8448	9
"血の記憶ランス"	14123	0
"血の記憶リトルプリンセス"	14125	0
"血の記憶ガイ"	14127	0
"血の記憶ジル"	14129	0
"血の記憶ナイチサ"	14131	0
"血の記憶スラル"	14133	0
"血の記憶アベル"	14135	0
"血の記憶ククルククル"	14137	0
"血の記憶血"	14139	0
"魔王美樹"	14175	0
"ストーンガーディアンＧＥＸ１"	14180	0
"ストーンガーディアンＧＥＸ２"	14181	0
"ストーンガーディアンＧＥＸ３"	14182	0
"ルドラサウム"	6948	8
"バスワルド"	10825	2
